CompanyID,CompanyType,FoundingYear,CompanySize_Employees,AnnualRevenue_USD,PrimaryServiceOffering,TargetMarket,FundingStage,R_D_Investment_Percentage,CloudAdoptionLevel,AgileMethodology,DevOpsAdoption,OpenSourceContribution,EmployeeSkillLevel_Average,GlobalPresence,CybersecurityIncidents_Last12Months,CustomerRetentionRate_Percentage,InnovationRating,Partnerships_Active,TechDebtLevel,GrowthRate_Annual_Percentage
T001,Startup,2022,50,2000000,Fintech,B2C,Seed,25,High,Yes,Yes,No,Advanced,No,0,85,5,2,Medium,150
T002,IT Services Firm,2005,300,30000000,Software Development,B2B,Self-funded,10,Medium,Yes,Yes,No,Intermediate,Yes,1,90,4,5,Medium,20
T003,Startup,2023,20,500000,EdTech,B2C,Seed,30,Fully Cloud-Native,Yes,Yes,No,Intermediate,No,0,75,4,0,Low,200
T004,IT Services Firm,1998,1000,100000000,IT Consulting,B2B,Publicly Traded,5,High,Yes,Yes,Yes,Advanced,Yes,2,95,4,10,Low,10
T005,Startup,2021,70,5000000,AI/ML,B2B,Series A,35,Fully Cloud-Native,Yes,Yes,Yes,Advanced,No,0,88,5,3,Low,180
T006,IT Services Firm,2010,150,15000000,Cloud Solutions,B2B,Self-funded,8,High,Yes,Yes,No,Intermediate,Yes,1,88,3,4,Medium,25
T007,Startup,2024,10,100000,Digital Marketing,B2C,Seed,20,Medium,Yes,No,No,Basic,No,0,60,3,0,Medium,100
T008,IT Services Firm,2000,500,50000000,Cybersecurity,B2B,Publicly Traded,12,High,Yes,Yes,Yes,Advanced,Yes,3,92,4,8,Medium,15
T009,Startup,2022,40,1500000,Mobile App Dev,B2C,Seed,28,High,Yes,Yes,No,Intermediate,No,0,80,4,1,Medium,130
T010,IT Services Firm,2008,200,20000000,Software Development,B2B,Self-funded,7,Medium,Yes,Yes,No,Intermediate,Yes,1,89,3,6,Medium,22
T011,Startup,2023,25,800000,Fintech,B2B,Seed,32,Fully Cloud-Native,Yes,Yes,No,Advanced,No,0,78,4,1,Low,170
T012,IT Services Firm,1995,800,80000000,IT Consulting,B2B,Publicly Traded,4,High,Yes,Yes,Yes,Advanced,Yes,2,94,4,9,Low,12
