CustomerID,Age,Gender,LocationType,HouseholdIncome_USD,EducationLevel,EmploymentStatus,ServiceType,ContractType,DataPlan_GB,CallMinutes_Monthly,SMSCount_Monthly,InternetSpeed_Mbps,MonthlyBill_USD,PaymentMethod,NumSupportTickets_Last12Months,ChurnRisk,LoyaltyProgramMember,HasStreamingBundle,DeviceOwnership,LastUpgradeDaysAgo
T001,35,Female,Urban,75000,Bachelor's,Employed,Bundled,2-Year,100,1500,200,300,85.50,Auto-Pay,0,Low,Yes,Yes,Smartphone,180
T002,42,Male,Suburban,90000,Master's,Employed,Internet,1-Year,500,0,0,500,70.00,Auto-Pay,1,Low,Yes,No,Smartphone,250
T003,28,Female,Urban,60000,Bachelor's,Employed,Mobile,Monthly,50,800,150,0,45.00,Manual Online,0,Low,No,No,Smartphone,90
T004,55,Male,Rural,50000,High School,Retired,Landline,Monthly,0,300,0,0,20.00,Manual Bank,2,Medium,No,No,No Mobile Device,700
T005,30,Other,Urban,80000,Bachelor's,Employed,Mobile,1-Year,75,1000,180,0,55.00,Auto-Pay,0,Low,No,Yes,Smartphone,120
T006,48,Female,Suburban,110000,Master's,Employed,Bundled,2-Year,200,2000,300,800,110.00,Auto-Pay,0,Low,Yes,Yes,Smartphone,300
T007,24,Male,Urban,45000,Bachelor's,Student,Internet,Monthly,100,0,0,100,40.00,Manual Online,1,Medium,No,No,Smartphone,60
T008,68,Female,Suburban,65000,High School,Retired,Landline,Monthly,0,200,0,0,15.00,Manual Bank,0,Low,Yes,No,No Mobile Device,500
T009,39,Male,Urban,95000,Master's,Employed,Bundled,2-Year,150,1800,250,600,95.00,Auto-Pay,0,Low,Yes,Yes,Smartphone,200
T010,33,Female,Suburban,70000,Bachelor's,Employed,Mobile,1-Year,60,900,160,0,50.00,Auto-Pay,0,Low,No,No,Smartphone,150
T011,29,Male,Urban,55000,Bachelor's,Employed,Internet,Monthly,200,0,0,200,55.00,Manual Online,1,Medium,No,No,Smartphone,100
T012,50,Female,Rural,85000,Master's,Employed,Bundled,1-Year,120,1600,220,400,90.00,Auto-Pay,0,Low,Yes,Yes,Smartphone,280
T013,27,Other,Urban,62000,Bachelor's,Employed,Mobile,Monthly,40,700,120,0,40.00,Manual Online,0,Low,No,No,Smartphone,75
T014,72,Male,Suburban,58000,PhD,Retired,Landline,Monthly,0,150,0,0,18.00,Manual Bank,1,Low,No,No,No Mobile Device,600
T015,44,Female,Urban,120000,Master's,Employed,Bundled,2-Year,250,2500,350,1000,130.00,Auto-Pay,0,Low,Yes,Yes,Smartphone,365
T016,36,Male,Suburban,82000,Bachelor's,Employed,Internet,1-Year,300,0,0,300,60.00,Auto-Pay,0,Low,Yes,No,Smartphone,210
T017,23,Female,Urban,40000,High School,Student,Mobile,Monthly,30,600,100,0,35.00,Manual Online,1,High,No,No,Smartphone,45
T018,60,Male,Rural,70000,Bachelor's,Homemaker,Landline,Monthly,0,250,0,0,22.00,Manual Bank,0,Low,Yes,No,No Mobile Device,400
T019,31,Other,Urban,78000,Master's,Employed,Mobile,1-Year,65,950,170,0,52.00,Auto-Pay,0,Low,No,Yes,Smartphone,130
T020,49,Female,Suburban,100000,Master's,Employed,Bundled,2-Year,180,1900,280,700,105.00,Auto-Pay,0,Low,Yes,Yes,Smartphone,320
T021,26,Male,Urban,50000,Bachelor's,Employed,Internet,Monthly,150,0,0,150,48.00,Manual Online,1,Medium,No,No,Smartphone,70
T022,64,Female,Suburban,68000,High School,Retired,Landline,Monthly,0,180,0,0,17.00,Manual Bank,0,Low,No,No,No Mobile Device,550
T023,34,Male,Urban,88000,Bachelor's,Employed,Mobile,2-Year,80,1100,190,0,60.00,Auto-Pay,0,Low,Yes,Yes,Smartphone,190
